handle,office,gender,party,,,,,,
@SenBlumenthal,senator,M,D,,,,,,
@marcorubio,senator,M,R,,,,,,
@JerryMoran,senator,M,R,,,,,,
@RandPaul,senator,M,R,,,,,,
@RoyBlunt,senator,M,R,,,,,,
@SenJohnHoeven,senator,M,R,,,,,,
@senrobportman,senator,M,R,,,,,,
@SenToomey,senator,M,R,,,,,,
@SenMikeLee,senator,M,R,,,,,,
@SenRonJohnson,senator,M,R,,,,,,
@RepMoBrooks,representative,M,R,,,,,,
@RepTerriSewell,representative,F,D,,,,,,
@RepRickCrawford,representative,M,R,,,,,,
@rep_stevewomack,representative,M,R,,,,,,
@RepGosar,representative,M,R,,,,,,
@RepDavid,representative,M,R,,,,,,
@RepKarenBass,representative,F,D,,,,,,
@RepWebster,representative,M,R,,,,,,
@RepWilson,representative,F,D,,,,,,
@AustinScottGA08,representative,M,R,,,,,,
@RepKinzinger,representative,M,R,,,,,,
@RepLarryBucshon,representative,M,R,,,,,,
@RepRichmond,representative,M,D,,,,,,
@RepAndyHarrisMD,representative,M,R,,,,,,
@USRepKeating,representative,M,D,,,,,,
@RepHuizenga,representative,M,R,,,,,,
@RepWalberg,representative,M,R,,,,,,
@RepHartzler,representative,F,R,,,,,,
@USRepLong,representative,M,R,,,,,,
@CongPalazzo,representative,M,R,,,,,,
@RepSteveChabot,representative,M,R,,,,,,
@RepBillJohnson,representative,M,R,,,,,,
@RepBobGibbs,representative,M,R,,,,,,
@MikeKellyPA,representative,M,R,,,,,,
@davidcicilline,representative,M,D,,,,,,
@RepJeffDuncan,representative,M,R,,,,,,
@RepChuck,representative,M,R,,,,,,
@DesJarlaisTN04,representative,M,R,,,,,,
@RepMGriffith,representative,M,R,,,,,,
@HerreraBeutler,representative,F,R,,,,,,
@RepMcKinley,representative,M,R,,,,,,
@RepMarthaRoby,representative,F,R,,,,,,
@RepTipton,representative,M,R,,,,,,
@RepRobWoodall,representative,M,R,,,,,,
@justinamash,representative,M,L,,,,,,
@RepBillFlores,representative,M,R,,,,,,
@MarkAmodeiNV2,representative,M,R,,,,,,
@RepBonamici,representative,F,D,,,,,,
@RepThomasMassie,representative,M,R,,,,,,
@RepDelBene,representative,F,D,,,,,,
@RepDonaldPayne,representative,M,D,,,,,,
@SenBrianSchatz,senator,M,D,,,,,,
@SenatorTimScott,senator,M,R,,,,,,
@timkaine,senator,M,D,,,,,,
@ChrisMurphyCT,senator,M,D,,,,,,
@maziehirono,senator,F,D,,,,,,
@SenWarren,senator,F,D,,,,,,
@SenAngusKing,senator,M,I,,,,,,
@SenatorFischer,senator,F,R,,,,,,
@MartinHeinrich,senator,M,D,,,,,,
@SenTedCruz,senator,M,R,,,,,,
@RepLaMalfa,representative,M,R,,,,,,
@RepHuffman,representative,M,D,,,,,,
@RepBera,representative,M,D,,,,,,
@RepSwalwell,representative,M,D,,,,,,
@RepBrownley,representative,F,D,,,,,,
@RepCardenas,representative,M,D,,,,,,
@CongressmanRuiz,representative,M,D,,,,,,
@RepMarkTakano,representative,M,D,,,,,,
@RepLowenthal,representative,M,D,,,,,,
@RepJuanVargas,representative,M,D,,,,,,
@RepScottPeters,representative,M,D,,,,,,
@RepLoisFrankel,representative,F,D,,,,,,
@RepBillFoster,representative,M,D,,,,,,
@RodneyDavis,representative,M,R,,,,,,
@RepCheri,representative,F,D,,,,,,
@RepWalorski,representative,F,R,,,,,,
@RepAndyBarr,representative,M,R,,,,,,
@RepDanKildee,representative,M,D,,,,,,
@RepAnnWagner,representative,F,R,,,,,,
@RepRichHudson,representative,M,R,,,,,,
@RepAnnieKuster,representative,F,D,,,,,,
@repdinatitus,representative,F,D,,,,,,
@RepGraceMeng,representative,F,D,,,,,,
@RepJeffries,representative,M,D,,,,,,
@RepSeanMaloney,representative,M,D,,,,,,
@RepBradWenstrup,representative,M,R,,,,,,
@RepBeatty,representative,F,D,,,,,,
@RepDaveJoyce,representative,M,R,,,,,,
@RepMullin,representative,M,R,,,,,,
@RepCartwright,representative,M,D,,,,,,
@RepScottPerry,representative,M,R,,,,,,
@RepTomRice,representative,M,R,,,,,,
@TXRandy14,representative,M,R,,,,,,
@JoaquinCastrotx,representative,M,D,,,,,,
@RepRWilliams,representative,M,R,,,,,,
@RepVeasey,representative,M,D,,,,,,
@RepFilemonVela,representative,M,D,,,,,,
@RepChrisStewart,representative,M,R,,,,,,
@RepDerekKilmer,representative,M,D,,,,,,
@repmarkpocan,representative,M,D,,,,,,
@RepTedYoho,representative,M,R,,,,,,
@RepDougCollins,representative,M,R,,,,,,
@TulsiGabbard,representative,F,D,,,,,,
@SusanWBrooks,representative,F,R,,,,,,
@joekennedy,representative,M,D,,,,,,
@RepHolding,representative,M,R,,,,,,
@RepDennyHeck,representative,M,D,,,,,,
@GovernorBullock,governor,M,D,,,,,,
@GovInslee,governor,M,D,,,,,,
@RepRobinKelly,representative,F,D,,,,,,
@RepJasonSmith,representative,M,R,,,,,,
@SenMarkey,senator,M,D,,,,,,
@SenBooker,senator,M,D,,,,,,
@RepKClark,representative,F,D,,,,,,
@RepByrne,representative,M,R,,,,,,
@RepAdams,representative,F,D,,,,,,
@DonaldNorcross,representative,M,D,,,,,,
@GovHawaii,governor,M,D,,,,,,
@SenDanSullivan,senator,M,R,,,,,,
@SenTomCotton,senator,M,R,,,,,,
@SenJoniErnst,senator,F,R,,,,,,
@SenBillCassidy,senator,M,R,,,,,,
@SenGaryPeters,senator,M,D,,,,,,
@SteveDaines,senator,M,R,,,,,,
@SenThomTillis,senator,M,R,,,,,,
@SenSasse,senator,M,R,,,,,,
@SenatorLankford,senator,M,R,,,,,,
@SenatorRounds,senator,M,R,,,,,,
@SenCapito,senator,F,R,,,,,,
@USRepGaryPalmer,representative,M,R,,,,,,
@RepFrenchHill,representative,M,R,,,,,,
@RepWesterman,representative,M,R,,,,,,
@RepRubenGallego,representative,M,D,,,,,,
@RepDeSaulnier,representative,M,D,,,,,,
@RepPeteAguilar,representative,M,D,,,,,,
@RepTedLieu,representative,M,D,,,,,,
@NormaJTorres,representative,F,D,,,,,,
@RepKenBuck,representative,M,R,,,,,,
@RepBuddyCarter,representative,M,R,,,,,,
@CongressmanHice,representative,M,R,,,,,,
@RepLoudermilk,representative,M,R,,,,,,
@RepRickAllen,representative,M,R,,,,,,
@RepBost,representative,M,R,,,,,,
@RepGarretGraves,representative,M,R,,,,,,
@sethmoulton,representative,M,D,,,,,,
@RepMoolenaar,representative,M,R,,,,,,
@RepDebDingell,representative,F,D,,,,,,
@RepLawrence,representative,F,D,,,,,,
@RepTomEmmer,representative,M,R,,,,,,
@RepDavidRouzer,representative,M,R,,,,,,
@RepBonnie,representative,F,D,,,,,,
@RepLeeZeldin,representative,M,R,,,,,,
@RepKathleenRice,representative,F,D,,,,,,
@RepStefanik,representative,F,R,,,,,,
@RepJohnKatko,representative,M,R,,,,,,
@CongBoyle,representative,M,D,,,,,,
@RepBrianBabin,representative,M,R,,,,,,
@RepDonBeyer,representative,M,D,,,,,,
@RepNewhouse,representative,M,R,,,,,,
@RepGrothman,representative,M,R,,,,,,
@RepAlexMooney,representative,M,R,,,,,,
@SenCoryGardner,senator,M,R,,,,,,
@sendavidperdue,senator,M,R,,,,,,
@RepAbraham,representative,M,R,,,,,,
@RepMarkWalker,representative,M,R,,,,,,
@HurdOnTheHill,representative,M,R,,,,,,
@dougducey,governor,M,R,,,,,,
@GovRaimondo,governor,F,D,,,,,,
@MassGovernor,governor,M,R,,,,,,
@GovRicketts,governor,M,R,,,,,,
@AsaHutchinson,governor,M,R,,,,,,
@GovernorTomWolf,governor,M,D,,,,,,
@GovAbbott,governor,M,R,,,,,,
@GovLarryHogan,governor,M,R,,,,,,
@OregonGovBrown,governor,F,D,,,,,,
@RepTrentKelly,representative,M,R,,,,,,
@RepLaHood,representative,M,R,,,,,,
@LouisianaGov,governor,M,D,,,,,,
@WarrenDavidson,representative,M,R,,,,,,
@JamesComer,representative,M,R,,,,,,
@RepDwightEvans,representative,M,D,,,,,,
@DougBurgum,governor,M,R,,,,,,
@NC_Governor,governor,M,D,,,,,,
@SenDuckworth,senator,F,D,,,,,,
@SenToddYoung,senator,M,R,,,,,,
@SenJohnKennedy,senator,M,R,,,,,,
@ChrisVanHollen,senator,M,D,,,,,,
@SenatorHassan,senator,F,D,,,,,,
@SenCortezMasto,senator,F,D,,,,,,
@SenatorBaldwin,senator,F,D,,,,,,
@RepOHalleran,representative,M,D,,,,,,
@RepAndyBiggsAZ,representative,M,R,,,,,,
@RepRoKhanna,representative,M,D,,,,,,
@RepJimmyPanetta,representative,M,D,,,,,,
@RepCarbajal,representative,M,D,,,,,,
@RepBarragan,representative,F,D,,,,,,
@RepLouCorrea,representative,M,D,,,,,,
@RepLBR,representative,F,D,,,,,,
@RepMattGaetz,representative,M,R,,,,,,
@DrNealDunnFL2,representative,M,R,,,,,,
@RepRutherfordFL,representative,M,R,,,,,,
@RepAlLawsonJr,representative,M,D,,,,,,
@RepStephMurphy,representative,F,D,,,,,,
@RepDarrenSoto,representative,M,D,,,,,,
@RepValDemings,representative,F,D,,,,,,
@RepCharlieCrist,representative,M,D,,,,,,
@RepBrianMast,representative,M,R,,,,,,
@RepDrewFerguson,representative,M,R,,,,,,
@CongressmanRaja,representative,M,D,,,,,,
@RepSchneider,representative,M,D,,,,,,
@RepJimBanks,representative,M,R,,,,,,
@RepTrey,representative,M,R,,,,,,
@RepClayHiggins,representative,M,R,,,,,,
@RepMikeJohnson,representative,M,R,,,,,,
@RepAnthonyBrown,representative,M,D,,,,,,
@RepRaskin,representative,M,D,,,,,,
@RepJackBergman,representative,M,R,,,,,,
@RepTedBudd,representative,M,R,,,,,,
@RepDonBacon,representative,M,R,,,,,,
@RepJoshG,representative,M,D,,,,,,
@RepTomSuozzi,representative,M,D,,,,,,
@RepEspaillat,representative,M,D,,,,,,
@RepBrianFitz,representative,M,R,,,,,,
@RepSmucker,representative,M,R,,,,,,
@RepDavidKustoff,representative,M,R,,,,,,
@RepGonzalez,representative,M,D,,,,,,
@RepArrington,representative,M,R,,,,,,
@RepMcEachin,representative,M,D,,,,,,
@RepJayapal,representative,F,D,,,,,,
@RepGallagher,representative,M,R,,,,,,
@Liz_Cheney,representative,F,R,,,,,,
@RogerMarshallMD,representative,M,R,,,,,,
@RepRooney,representative,M,R,,,,,,
@RepPaulMitchell,representative,M,R,,,,,,
@GovChrisSununu,governor,M,R,,,,,,
@GovPhilScott,governor,M,R,,,,,,
@GovHolcomb,governor,M,R,,,,,,
@WVGovernor,governor,M,R,,,,,,
@JohnCarneyDE,governor,M,D,,,,,,
@henrymcmaster,governor,M,R,,,,,,
@GovernorKayIvey,governor,F,R,,,,,,
@RepRonEstes,representative,M,R,,,,,,
@IAGovernor,governor,F,R,,,,,,
@RepRalphNorman,representative,M,R,,,,,,
@GregForMontana,representative,M,R,,,,,,
@RepJimmyGomez,representative,M,D,,,,,,
@RepJohnCurtis,representative,M,R,,,,,,
@repdonyoung,representative,M,R,,,,,,
@SenTinaSmith,senator,F,D,,,,,,
@DougJones,senator,M,D,,,,,,
@GovernorVA,governor,M,D,,,,,,
@GovMurphy,governor,M,D,,,,,,
@SenHydeSmith,senator,F,R,,,,,,
@ConorLambPA,representative,M,D,,,,,,
@RepDLesko,representative,F,R,,,,,,
@GovParsonMO,governor,M,R,,,,,,
@RepCloudTX,representative,M,R,,,,,,
@RepBalderson,representative,M,R,,,,,,
@RepJoeMorelle,representative,M,D,,,,,,
@repkevinhern,representative,M,R,,,,,,
@RepMGS,representative,F,D,,,,,,
@RepSusanWild,representative,F,D,,,,,,
@GovDunleavy,governor,M,R,,,,,,
@GovWhitmer,governor,F,D,,,,,,
@GovMLG,governor,F,D,,,,,,
@GovJanetMills,governor,F,D,,,,,,
@RepDebHaaland,representative,F,D,,,,,,
@RepRonWright,representative,M,R,,,,,,
@Ilhan,representative,F,D,,,,,,
@SenatorSinema,senator,F,D,,,,,,
@SenatorBraun,senator,M,R,,,,,,
@HawleyMO,senator,M,R,,,,,,
@SenKevinCramer,senator,M,R,,,,,,
@SenJackyRosen,senator,F,D,,,,,,
@MarshaBlackburn,senator,F,R,,,,,,
@MittRomney,senator,M,R,,,,,,
@RepKirkpatrick,representative,F,D,,,,,,
@RepGregStanton,representative,M,D,,,,,,
@RepJoshHarder,representative,M,D,,,,,,
@RepKatiePorter,representative,F,D,,,,,,
@RepMikeLevin,representative,M,D,,,,,,
@RepJoeNeguse,representative,M,D,,,,,,
@RepJasonCrow,representative,M,D,,,,,,
@RepJahanaHayes,representative,F,D,,,,,,
@RepMichaelWaltz,representative,M,R,,,,,,
@RepGregSteube,representative,M,R,,,,,,
@RepLucyMcBath,representative,F,D,,,,,,
@RepEdCase,representative,M,D,,,,,,
@RepCindyAxne,representative,F,D,,,,,,
@RepRussFulcher,representative,M,R,,,,,,
@RepChuyGarcia,representative,M,D,,,,,,
@RepCasten,representative,M,D,,,,,,
@RepUnderwood,representative,F,D,,,,,,
@RepJimBaird,representative,M,R,,,,,,
@RepGregPence,representative,M,R,,,,,,
@RepDavids,representative,F,D,,,,,,
@RepGolden,representative,M,D,,,,,,
@LeaderHoyer,representative,M,D,,,,,,
@RepDavidTrone,representative,M,D,,,,,,
@RepLoriTrahan,representative,F,D,,,,,,
@RepPressley,representative,F,D,,,,,,
@RepSlotkin,representative,F,D,,,,,,
@RepAndyLevin,representative,M,D,,,,,,
@RepHaleyStevens,representative,F,D,,,,,,
@RepRashida,representative,F,D,,,,,,
@RepHagedorn,representative,M,R,,,,,,
@RepAngieCraig,representative,F,D,,,,,,
@RepDeanPhillips,representative,M,D,,,,,,
@RepPeteStauber,representative,M,R,,,,,,
@RepMichaelGuest,representative,M,R,,,,,,
@RepArmstrongND,representative,M,R,,,,,,
@RepChrisPappas,representative,M,D,,,,,,
